,0
1089,MME
1090,SHOX2
1091,IL12A
1092,SMC4
1093,SI
1094,MECOM
1095,ACTRT3
1096,SKIL
1097,SLC7A14
1098,TNFSF10
1099,ZMAT3
1100,ZNF639
1101,DNAJC19
1102,KLHL6
1103,ABCC5
1104,DVL3
1105,AP2M1
1106,ABCF3
1107,VWA5B2
1108,ECE2
1109,CLCN2
1110,CHRD
1111,MAGEF1
1112,MAP3K13
1113,IGF2BP2
1114,ADIPOQ
1115,ADIPOQ-AS1
1116,BCL6
1117,TP63
1118,LEPREL1
1119,GMNC
1120,XXYLT1
1121,APOD
1122,SDHAP2
1123,MUC4
1124,TNK2
1125,SDHAP1
1126,ZDHHC19
1127,PAK2
1128,PIGZ
1129,MFI2
1130,LRCH3
1131,IQCG
1132,ZNF595
1133,PIGG
1134,MFSD7
1135,GAK
1136,SLC26A1
1137,FGFRL1
1138,CTBP1
1139,UVSSA
1140,CRIPAK
1141,TMEM129
1142,FGFR3
1143,WHSC1
1144,NELFA
1145,ZFYVE28
1146,RP11-503N18.1
1147,FAM193A
1148,SH3BP2
1149,MFSD10
1150,HTT
1151,RGS12
1152,HGFAC
1153,FAM86EP
1154,EVC2
1155,EVC
1156,CRMP1
1157,JAKMIP1
1158,WFS1
1159,PPP2R2C
1160,TBC1D14
1161,CCDC96
1162,SORCS2
1163,ABLIM2
1164,SH3TC1
1165,ACOX3
1166,TRMT44
1167,CPZ
1168,HMX1
1169,FAM86KP
1170,USP17L12
1171,USP17L15
1172,USP17L18
1173,USP17L19
1174,USP17L20
1175,USP17L21
1176,USP17L24
1177,USP17L5
1178,USP17L29
1179,USP17L9P
1180,USP17L6P
1181,ZNF518B
1182,HS3ST1
1183,NKX3-2
1184,BOD1L1
1185,FAM184B
1186,DCAF16
1187,KCNIP4
1188,SEL1L3
1189,ARAP2
1190,PGM2
1191,TBC1D1
1192,TMEM156
1193,WDR19
1194,SMIM14
1195,PDS5A
1196,CHRNA9
1197,LIMCH1
1198,PHOX2B
1199,FRYL
1200,OCIAD1
1201,CWH43
1202,ERVMER34-1
1203,SCFD2
1204,FIP1L1
1205,LNX1
1206,PDGFRA
1207,CLOCK
1208,CEP135
1209,PAICS
1210,SRP72
1211,EPHA5
1212,CENPC
1213,TMPRSS11E
1214,RUFY3
1215,RASSF6
1216,USO1
1217,CCDC158
1218,SHROOM3
1219,SOWAHB
1220,SEPT11
1221,FRAS1
1222,PRKG2
1223,ENOPH1
1224,LIN54
1225,WDFY3
1226,ARHGAP24
1227,NUDT9
1228,SPARCL1
1229,PKD2
1230,ABCG2
1231,HERC3
1232,SMARCAD1
1233,PDHA2
1234,BANK1
1235,NFKB1
1236,ARHGEF38
1237,PAPSS1
1238,LEF1
1239,SEC24B
1240,LRIT3
1241,ANK2
1242,NDST4
1243,SEC24D
1244,USP53
1245,TRPC3
1246,KIAA1109
1247,SPRY1
1248,FAT4
1249,PLK4
1250,C4orf29
1251,JADE1
1252,SLC7A11-AS1
1253,ELF2
1254,NAA15
1255,MAML3
1256,TBC1D9
1257,TNRC18P1
1258,INPP4B
1259,USP38
1260,GYPE
1261,GYPB
1262,C4orf51
1263,TTC29
1264,ARHGAP10
1265,DCLK2
1266,MAB21L2
1267,FBXW7
1268,FHDC1
1269,FGA
1270,ASIC5
1271,TMEM144
1272,FNIP2
1273,FSTL5
1274,NPY5R
1275,TRIM61
1276,DDX60
1277,PALLD
1278,SH3RF1
1279,AADAT
1280,ADAM29
1281,DCTD
1282,WWC2
1283,CLDN24
1284,ACSL1
1285,PDLIM3
1286,FAT1
1287,SDHA
1288,PDCD6
1289,EXOC3
1290,BRD9
1291,SLC6A19
1292,TERT
1293,MIR4457
1294,SLC6A3
1295,SDHAP3
1296,IRX1
1297,KIAA0947
1298,LOC442132
1299,CMBL
1300,ROPN1L
1301,DNAH5
1302,FBXL7
1303,MYO10
1304,PRDM9
1305,PDZD2
1306,NPR3
1307,ADAMTS12
1308,DNAJC21
1309,SPEF2
1310,UGT3A2
1311,NIPBL
1312,NUP155
1313,WDR70
1314,GDNF
1315,GDNF-AS1
1316,EGFLAM
1317,RICTOR
1318,FYB
1319,C7
1320,MROH2B
1321,PLCXD3
1322,C5orf51
1323,ITGA2
1324,GZMK
1325,GPX8
1326,IL6ST
1327,NLN
1328,MAST4
1329,SLC30A5
1330,CENPH
1331,CDK7
1332,SERF1B
1333,SMN2
1334,SERF1A
1335,FOXD1
1336,ARHGEF28
1337,IQGAP2
1338,F2RL1
1339,AP3B1
1340,DMGDH
1341,CMYA5
1342,CRSP8P
1343,DHFR
1344,RASGRF2
1345,SSBP2
1346,LNPEP
1347,LIX1
1348,RIOK2
1349,LOC100133050
1350,SLCO6A1
1351,FER
1352,EPB41L4A
1353,APC
1354,MCC
1355,TRIM36
1356,AP3S1
1357,DMXL1
1358,HSD17B4
1359,FTMT
1360,LOX
1361,ZNF474
1362,GRAMD3
1363,LMNB1
1364,PRRC1
1365,FBN2
1366,ACSL6
1367,PDLIM4
1368,SEPT8
1369,SHROOM1
1370,FSTL4
1371,JADE2
1372,PCBD2
1373,CATSPER3
1374,C5orf20
1375,SLC25A48
1376,PKD2L2
1377,KDM3B
1378,REEP2
1379,EGR1
1380,LRRTM2
1381,CTNNA1
1382,ECSCR
1383,TMEM173
1384,NRG2
1385,SLC4A9
1386,TMCO6
1387,NDUFA2
1388,WDR55
1389,PCDHA10
1390,PCDHA13
1391,PCDHB7
1392,PCDHB13
1393,PCDHGA5
1394,PCDHGA6
1395,PCDHGA7
1396,PCDHGA9
1397,PCDHGA11
1398,PCDHGA12
1399,HDAC3
1400,FCHSD1
1401,KIAA0141
1402,PCDH12
